commercial_id,title,nice_class,description,year,lustrum,duration_in_seconds,source,has_been_transcribed,palette_extracted
ea9af34675a64183b1292a8c1130999e_030,Oro Pilla Brandy,33,"Molto trasmesso nella prima metà degli anni ’80, uno spot “patriottico” per il brandy italiano Oro Pilla.",1982,1980_1984,31.0,Spot 80,True,True
e5df0887878f4db2b822e77f71ee1014_030,Collirio Alfa,5,"Immagini di due splendidi occhi in primo piano, fotogrammi in sovraimpressione e musica rilassante accompagnano lo spot del collirio Alfa.",1982,1980_1984,32.0,Spot 80,True,True
be5925a81d8646e8937a19da4fe35993_045,Philips Philips Elettrodomestici,11,Una simpatica canzoncina accompagna le immagini dei tanti elettrodomestici Philips che svolgono ottimamente il loro lavoro aiutando le persone in ogni attività della giornata.,1982,1980_1984,42.0,Spot 80,True,True
cc7333dec6d2427f9bae84291566b9dd_030,Doremifive Cantiamo Con Five Compilation,9,"Ecco un gioiellino per tutti coloro che sono cresciuti a pane e cartoni animati sulle reti Fininvest. “Do re mi… five – Cantiamo con Five” fu la primissima delle raccolte con le più famose sigle di programmi per bambini cantate da un ancora giovanissima Cristina D’Avena, e fu anche il trampolino di lancio per la più ricordata raccolta annuale “Fivelandia”, che verrà prodotta a partire dall’anno successivo. In definitiva, si potrebbe definire questa raccolta quasi come il suo numero “0”.",1982,1980_1984,21.0,Spot 80,True,True
e02908a0aa1d4fbaa82411e95b1c64f0_060,Upim Sogg. Pianista Notte,35,"In questo vecchio spot, vediamo una specie di “proto-Giovanni Allevi” che, dopo che le luci di un locale all’aperto si spengono, si accinge solitario a suonare il suo pianoforte. Improvvisamente, scorge una splendida ragazza che magicamente, mentre cammina, cambia i suoi abiti di volta in volta da vestiti da sera a costumi da bagno, col nostro pianista che la segue visibilmente emozionato. Il tutto per sponsorizzare la collezione mare dei magazzini Upim.",1982,1980_1984,65.0,Spot 80,True,True
ea975dbc8aaa44a9b857832a87b0fa8a_030,Beecham Super Soap Badedas Sapone,3,"Il lancio del celebre sapone liquido, in cui la nuova concezione del sapone secondo Badedas viene raffigurata con una grossa saponetta scolpita con un coltello a forma del dispenser di Super Soap.",1982,1980_1984,21.0,Spot 80,True,True
d6f0cead9c6b4387a04342f7322df1e3_015,Surgela Mozzarelli,29,"Spot dei Mozzarelli Surgela, puri bocconcini di mozzarella impanata senza aggiunta di ingredienti indesiderati. Finale con la voce del grande Peppino Rinaldi.",1982,1980_1984,18.0,Spot 80,True,True
bf0325dbdbc6436d84f5f243eabe093e_015,Badedas Super Soap Sapone,3,"Uno spot ritmato da un efficace jingle quasi rap presenta il primo e più celebre sapone “nel flacone” in Italia, naturalmente il Super Soap della Badedas.",1982,1980_1984,16.0,Spot 80,True,True
bb168091206b4166bbc59b4bbc8380a2_045,Chiari E Forti Olio Cuore Con Nino Castelnuovo,29,"Vi riproponiamo uno dei più celebri testimonial dell’Olio Cuore, Nino Castelnuovo. L’attore fu legato all’azienda già dai tempi di Carosello e fu lui stesso l’inventore del gesto del salto della staccionata a piedi uniti che ancora oggi viene associato all’olio Cuore.",1982,1980_1984,33.0,Spot 80,True,True
db1aab06d2d44739b721a4b768459e2e_030,Cornetto Algida,30,"Il “cuore di panna” ai suoi esordi nel mondo degli spot pubblicitari, con le immancabili immagini di bella gente e buoni sentimenti.",1982,1980_1984,31.0,Spot 80,True,True
